ID,year,meanBLT_fml_precond,meanBLT_spwn,maxBLT_fml_precond,maxTLT_spwn,maxTLT_150,meanTLT_150,LS_150,CS_150,maxTLT_150_may,meanTLT_150_may,LS_150_may,CS_150_may,maxTLT_150_june,meanTLT_150_june,LS_150_june,CS_150_june,maxTLT_150_july,meanTLT_150_july,LS_150_july,CS_150_july,maxTLT_150_aug,meanTLT_150_aug,LS_150_aug,CS_150_aug,maxTLT_150_sep,meanTLT_150_sep,LS_150_sep,CS_150_sep,Y
18,1996,8.326899713467768,7.392264079306908,10.979604256975273,12.098474960355587,17.02924835817566,14.039287857102956,-0.0290687740292171,-0.10645502482536019,13.896726496304574,12.377333465013455,-0.0020772339377952303,-0.10886034215513021,15.33367956142276,13.970100915260284,-0.039768375373510724,-0.1788626806037499,15.819934452888761,13.99444841111721,-0.060798856202625706,-0.11964128429922287,16.33285980489032,14.658499641020237,-0.029370098564911466,-0.06621024133171234,17.02924835817566,15.177948725764708,-0.013844381210439929,-0.06484478977611073,1851675480.0
19,1997,8.260249110598478,6.723849128125015,9.544316554013431,12.010434007054783,19.42675745550033,16.29003571626556,-0.0004684429102248392,-0.0469673493662203,14.96803375348816,13.365634584845273,0.015629152440419947,-0.00789903837512377,17.305876179090426,15.789200395804656,-0.019085099346028127,-0.07753598334232539,17.94457076204369,16.7357100790258,-0.035203340502976944,-0.1256019717865184,18.691105933265355,17.2281981101912,-0.00048701323572363414,-0.022085059964992833,19.42675745550033,18.064897734636176,0.030883274501440988,-0.002392706055605912,492686263.0
20,1998,9.409909528258373,7.835747554169757,11.737341091536482,12.551084712105027,17.654805066970393,14.187536035228968,-0.04313729472426945,-0.10453273916593035,14.511252247496419,12.87977738945378,8.911483271687984e-05,-0.0966490675412838,14.61298323915978,13.419372948665606,-0.05728305903582991,-0.13237434473545778,17.135884577326458,14.80509903509867,-0.04430206688853981,-0.09985575361385253,17.654805066970393,15.259999124004855,-0.06845240458901655,-0.11746719286115512,16.465705921391052,14.678233287525511,-0.047444503293168155,-0.07268285512382747,3122088819.8
21,1999,7.707499429190039,6.678457723858257,9.963369099901916,10.775100980906725,17.2123215945789,13.764748386116002,-0.03157065530823911,-0.1000761665063582,12.604103026970884,11.195892364157872,-0.005496016469847256,-0.1381603528566586,14.873714339098685,12.837781067795532,-0.009977667246447724,-0.10050861437226162,15.8599283075931,14.333289943021978,-0.05626599125217858,-0.0903802642056433,17.2123215945789,15.945571449845936,-0.027969366693727425,-0.07150574022255361,16.19502944168892,14.19614594560002,-0.06371288218060296,-0.10365288457590724,3056819989.0
22,2000,7.879209845388557,6.763291702973441,9.567341467586397,11.766479214363164,16.98253725546117,13.823999247496833,-0.02498011806475059,-0.08441520893794315,13.497467434388179,12.232685539431632,0.01921910917300607,-0.05719336404424112,14.7949024672943,13.303560187416158,-0.02825525181449264,-0.10991233931963058,15.742319876872694,13.965949078840495,-0.04349006053183443,-0.07963225413057297,16.98253725546117,15.012751261460071,-0.04416431016616048,-0.10961757181164736,16.239236650424047,14.666512236911762,-0.02933171380672808,-0.06495222581348525,2175116398.0
23,2001,7.8319560797849554,6.875921063467725,9.560647938169456,10.979642447846189,16.663854280253698,13.33017531414563,-0.041934979395090916,-0.11444655415668716,13.133467902617994,11.165688080991591,-0.020154446718432674,-0.13295926391307353,14.980171651128524,13.336540534033913,-0.038721424220141014,-0.1178300164960601,14.923211854605348,13.149757646165941,-0.05996608896846001,-0.14136619698872946,16.663854280253698,14.722928881453123,-0.03640293351586361,-0.06803664061985955,16.43974215148499,14.235228215192237,-0.05657704928031103,-0.10528058297770186,4548280862.0
24,2002,7.316626893274359,6.707355127235834,9.248933838513333,10.23334524284774,16.773753337583326,13.249071182337758,-0.03364332783865698,-0.10403980602663306,12.392577354650856,10.91970738416287,-0.0038128417399676145,-0.11988264202810459,15.24750165862388,13.033675827194818,0.004009961078521779,-0.12641875515058568,16.773753337583326,14.721754996033564,-0.052779437148140596,-0.11018385628375742,16.150719845772546,13.318919599898388,-0.06494625287039012,-0.10367922515136316,15.97609973848182,13.991845920746131,-0.04224324303932747,-0.056665404330915166,2647482010.98
25,2003,8.059145746868746,6.994605088842248,10.402763161928762,11.513512857472891,17.875105552210506,14.269918576201032,-0.03744701118029599,-0.1225156328482099,14.3286287434082,12.492431570426469,-0.01762934036448542,-0.10880761905439053,15.304030031997714,13.630682522988364,-0.03483225228350323,-0.16146692051089342,17.264023372087756,14.98562780463774,-0.040953192933143,-0.16714367553165563,17.875105552210506,15.941660744666775,-0.05958945870292101,-0.11082706784160207,15.897209819860905,14.305652143903421,-0.01621626414851112,-0.05927325735377662,480912619.0
26,2004,7.7582982589933325,7.078176672078704,9.185704695466805,12.445639285494616,17.898630794888042,15.055858048802843,-0.022641702315933706,-0.10282694959000326,14.73372736455905,13.581050276116786,-0.0007360642845107244,-0.11366744742438907,16.167312215037818,14.578214751993679,-0.01690610807473448,-0.16031123847571116,17.849445483545484,15.374287317869674,-0.05693336748680835,-0.12130239988726388,17.898630794888042,15.800428354439088,-0.02223832832780554,-0.041736755707953245,17.669083065349003,16.041008796684046,-0.016780649207919298,-0.08195244042511214,2951002382.0
27,2005,8.039853168553824,8.166238443356251,9.661584940521758,12.439379328517704,16.963596470932938,13.78414799392816,-0.036858706242481,-0.08269395816389614,13.86004838642541,12.882279026255242,0.0006891454288485074,-0.0259483172902282,15.402536799180483,14.36639822122805,-0.02479368076428772,-0.09484317090719616,16.963596470932938,14.77249516543354,-0.04612802861202987,-0.120902149916581,16.23013564280074,13.214612873429983,-0.04773851787054287,-0.07568311535884774,16.818708141932053,13.524961292015927,-0.05740975510732917,-0.08559140057648733,406331679.172175
28,2006,7.798605096087341,7.107939545384072,10.163803327416034,11.397895075217882,16.151446365140693,13.355680258782863,-0.03433489212268623,-0.0976866190078957,13.124056457868395,11.76218449299189,-0.0063996930174018704,-0.09039370842807017,15.658932138784435,13.809061336609684,-0.03875776991346085,-0.11696627975267403,16.151446365140693,14.398325343439941,-0.03312812290860445,-0.12245770338245739,15.445834380875931,13.093955568773282,-0.06715317790097053,-0.1022252623831595,15.260515725934534,13.72401784871341,-0.03472663340776257,-0.07681529705109533,3784258580.92026
29,2007,7.889681642495558,6.98927201314764,9.87719324961091,10.964765041026814,17.967208422133332,14.250604133714235,-0.022545737242227807,-0.09486454171537437,12.835382699909024,11.131514915206557,-0.0261562310885477,-0.1522804172872412,15.434658267822318,13.432200428400405,0.01187383644473891,-0.1013104834567078,17.246680546260954,15.787996957807252,-0.021746149713910572,-0.07797402827060826,17.967208422133332,16.26017923776738,-0.027772935891017772,-0.09565054468917042,17.1427256915391,14.541255858047665,-0.048957858169334574,-0.05060186677521894,1290428743.80718
30,2008,7.541942018423604,6.549163980896917,9.272890655939312,9.799909209713359,16.045630193983126,12.85122463430718,-0.03413340118965896,-0.11117134472794309,12.420108944463925,10.793568744165812,-0.021530358537020653,-0.13320585233215274,14.278735805732227,11.88120534253938,-0.04982953544052214,-0.16697018985013654,14.824932274849472,13.099010160299553,-0.053667500516901785,-0.11143834622075559,16.045630193983126,14.626271846707862,0.0019486634691690432,-0.0678405917393993,15.602701617443106,13.655452666015236,-0.052693775275809936,-0.08758139840382095,3402549165.5161
31,2009,7.531237300147734,6.799905060877049,8.693950932461494,10.294425583705447,17.92452922272564,13.787457997156531,-0.027950147521749097,-0.08798859073109493,12.950766508062642,10.722336837889832,-0.01713604220376672,-0.09493340288990487,15.21137208691583,13.593374340989733,-0.029558563767215745,-0.10743982773192502,16.19700698516754,13.763234811841453,-0.04924888445352149,-0.1114774806816056,16.275722374534585,14.861689982185894,-0.0351539250219649,-0.07811648309850786,17.92452922272564,15.903887125224173,-0.02359067808461755,-0.06282413666028415,4479341370.47158
32,2010,7.806966256290973,7.17253763016289,9.83312342923651,11.431661063315152,15.57690438322988,12.673745652510602,-0.01903178228422709,-0.07435314859258856,12.375589965068741,11.413252068531882,0.022093631235122355,-0.08567221204336921,15.175741606559788,12.799592971191474,-0.03222033663049911,-0.1185332212711697,15.176342795929834,12.537998994070728,-0.06610163875540517,-0.12086967535934035,15.19036023249896,12.957732478532343,-0.026953441171425174,-0.04404542183242706,15.57690438322988,13.793262445025388,-0.004213544299636502,-0.017222261607757715,4454229880.36921
