time,depth,latitude,longitude,sst,ssta
UTC,m,degrees_north,degrees_east,degree_C,degree_C
1987-11-01T00:00:00Z,0.0,46.0,-124.0,11.998321,0.62600803
1987-11-01T00:00:00Z,0.0,48.0,-126.0,11.649026,0.67663
1987-11-01T00:00:00Z,0.0,48.0,-124.0,11.029364,0.5908642
1987-12-01T00:00:00Z,0.0,40.0,-126.0,12.841493,0.4023676
1987-12-01T00:00:00Z,0.0,40.0,-124.0,12.4324665,0.48438263
1987-12-01T00:00:00Z,0.0,42.0,-126.0,12.034423,0.43108845
1987-12-01T00:00:00Z,0.0,42.0,-124.0,11.717506,0.50531864
1987-12-01T00:00:00Z,0.0,44.0,-126.0,11.394814,0.439126
1987-12-01T00:00:00Z,0.0,44.0,-124.0,11.183899,0.53312874
1987-12-01T00:00:00Z,0.0,46.0,-126.0,10.814081,0.50785255
1987-12-01T00:00:00Z,0.0,46.0,-124.0,10.569794,0.5730028
1987-12-01T00:00:00Z,0.0,48.0,-126.0,10.075068,0.5840893
1987-12-01T00:00:00Z,0.0,48.0,-124.0,9.75321,0.6180439
1988-01-01T00:00:00Z,0.0,40.0,-126.0,11.299938,-0.3371458
1988-01-01T00:00:00Z,0.0,40.0,-124.0,11.087309,-0.30012894
1988-01-01T00:00:00Z,0.0,42.0,-126.0,10.593644,-0.21214771
1988-01-01T00:00:00Z,0.0,42.0,-124.0,10.507454,-0.12014961
1988-01-01T00:00:00Z,0.0,44.0,-126.0,10.062716,-0.03195095
1988-01-01T00:00:00Z,0.0,44.0,-124.0,10.051568,0.08550644
1988-01-01T00:00:00Z,0.0,46.0,-126.0,9.5892,0.19180489
1988-01-01T00:00:00Z,0.0,46.0,-124.0,9.532599,0.29643345
1988-01-01T00:00:00Z,0.0,48.0,-126.0,9.047988,0.39671803
1988-01-01T00:00:00Z,0.0,48.0,-124.0,8.894958,0.4767294
1988-02-01T00:00:00Z,0.0,40.0,-126.0,11.064755,-0.30505753
1988-02-01T00:00:00Z,0.0,40.0,-124.0,11.023071,-0.25997734
1988-02-01T00:00:00Z,0.0,42.0,-126.0,10.362957,-0.23179245
1988-02-01T00:00:00Z,0.0,42.0,-124.0,10.367911,-0.20167255
1988-02-01T00:00:00Z,0.0,44.0,-126.0,9.783751,-0.10972881
1988-02-01T00:00:00Z,0.0,44.0,-124.0,9.82886,-0.083265305
1988-02-01T00:00:00Z,0.0,46.0,-126.0,9.20051,0.008739471
1988-02-01T00:00:00Z,0.0,46.0,-124.0,9.189775,0.014316559
1988-02-01T00:00:00Z,0.0,48.0,-126.0,8.582366,0.08442783
1988-02-01T00:00:00Z,0.0,48.0,-124.0,8.468584,0.06845951
1988-03-01T00:00:00Z,0.0,40.0,-126.0,11.164112,-0.14865875
1988-03-01T00:00:00Z,0.0,40.0,-124.0,11.060429,-0.17698002
1988-03-01T00:00:00Z,0.0,42.0,-126.0,10.525691,-0.09357834
1988-03-01T00:00:00Z,0.0,42.0,-124.0,10.502816,-0.13107967
1988-03-01T00:00:00Z,0.0,44.0,-126.0,9.974837,-0.028849602
1988-03-01T00:00:00Z,0.0,44.0,-124.0,10.052765,-0.05586052
1988-03-01T00:00:00Z,0.0,46.0,-126.0,9.413204,0.018163681
1988-03-01T00:00:00Z,0.0,46.0,-124.0,9.504628,-0.012141228
1988-03-01T00:00:00Z,0.0,48.0,-126.0,8.850382,0.026903152
1988-03-01T00:00:00Z,0.0,48.0,-124.0,8.875499,-0.021313667
1988-04-01T00:00:00Z,0.0,40.0,-126.0,11.412387,-0.13996792
1988-04-01T00:00:00Z,0.0,40.0,-124.0,11.228473,-0.08582592
1988-04-01T00:00:00Z,0.0,42.0,-126.0,10.839074,-0.15848923
1988-04-01T00:00:00Z,0.0,42.0,-124.0,10.789639,-0.1332159
1988-04-01T00:00:00Z,0.0,44.0,-126.0,10.408279,-0.14709663
1988-04-01T00:00:00Z,0.0,44.0,-124.0,10.540173,-0.1158905
1988-04-01T00:00:00Z,0.0,46.0,-126.0,10.000972,-0.11584091
1988-04-01T00:00:00Z,0.0,46.0,-124.0,10.238106,-0.09016609
1988-04-01T00:00:00Z,0.0,48.0,-126.0,9.610203,-0.101421356
1988-04-01T00:00:00Z,0.0,48.0,-124.0,9.857463,-0.09980774
1988-05-01T00:00:00Z,0.0,40.0,-126.0,11.941682,-0.30215168
1988-05-01T00:00:00Z,0.0,40.0,-124.0,11.540362,-0.18105412
1988-05-01T00:00:00Z,0.0,42.0,-126.0,11.617141,-0.31629562
1988-05-01T00:00:00Z,0.0,42.0,-124.0,11.472915,-0.24045944
1988-05-01T00:00:00Z,0.0,44.0,-126.0,11.540949,-0.25609207
1988-05-01T00:00:00Z,0.0,44.0,-124.0,11.695537,-0.17708874
1988-05-01T00:00:00Z,0.0,46.0,-126.0,11.438549,-0.16316032
1988-05-01T00:00:00Z,0.0,46.0,-124.0,11.794335,-0.090540886
1988-05-01T00:00:00Z,0.0,48.0,-126.0,11.292591,-0.07345104
1988-05-01T00:00:00Z,0.0,48.0,-124.0,11.728728,-0.030669212
1988-06-01T00:00:00Z,0.0,40.0,-126.0,13.036304,-0.23502827
1988-06-01T00:00:00Z,0.0,40.0,-124.0,12.274694,-0.13869476
1988-06-01T00:00:00Z,0.0,42.0,-126.0,12.916637,-0.29667473
1988-06-01T00:00:00Z,0.0,42.0,-124.0,12.580228,-0.15860653
1988-06-01T00:00:00Z,0.0,44.0,-126.0,13.064025,-0.32914066
1988-06-01T00:00:00Z,0.0,44.0,-124.0,13.162434,-0.14052391
1988-06-01T00:00:00Z,0.0,46.0,-126.0,13.005358,-0.37145424
1988-06-01T00:00:00Z,0.0,46.0,-124.0,13.375996,-0.18356705
1988-06-01T00:00:00Z,0.0,48.0,-126.0,12.778112,-0.37065792
1988-06-01T00:00:00Z,0.0,48.0,-124.0,13.262598,-0.22684002
1988-07-01T00:00:00Z,0.0,40.0,-126.0,14.561343,0.004468918
1988-07-01T00:00:00Z,0.0,40.0,-124.0,13.41416,-0.07406998
1988-07-01T00:00:00Z,0.0,42.0,-126.0,14.536087,-0.07080841
1988-07-01T00:00:00Z,0.0,42.0,-124.0,13.713848,-0.14829826
1988-07-01T00:00:00Z,0.0,44.0,-126.0,14.838369,-0.10438061
1988-07-01T00:00:00Z,0.0,44.0,-124.0,14.451428,-0.13959217
1988-07-01T00:00:00Z,0.0,46.0,-126.0,14.742734,-0.22339153
1988-07-01T00:00:00Z,0.0,46.0,-124.0,14.66465,-0.24678802
1988-07-01T00:00:00Z,0.0,48.0,-126.0,14.210063,-0.38608265
1988-07-01T00:00:00Z,0.0,48.0,-124.0,14.285598,-0.43763256
1988-08-01T00:00:00Z,0.0,40.0,-126.0,14.8531475,-0.73018646
1988-08-01T00:00:00Z,0.0,40.0,-124.0,13.64319,-0.7168093
1988-08-01T00:00:00Z,0.0,42.0,-126.0,14.683801,-0.8806162
1988-08-01T00:00:00Z,0.0,42.0,-124.0,13.544348,-0.9871731
1988-08-01T00:00:00Z,0.0,44.0,-126.0,14.974293,-0.9126034
1988-08-01T00:00:00Z,0.0,44.0,-124.0,14.153632,-1.0206795
1988-08-01T00:00:00Z,0.0,46.0,-126.0,14.886123,-0.966918
1988-08-01T00:00:00Z,0.0,46.0,-124.0,14.34577,-1.062458
1988-08-01T00:00:00Z,0.0,48.0,-126.0,14.159376,-1.0716038
1988-08-01T00:00:00Z,0.0,48.0,-124.0,13.794924,-1.1688862
1988-09-01T00:00:00Z,0.0,40.0,-126.0,14.375424,-1.3917007
1988-09-01T00:00:00Z,0.0,40.0,-124.0,13.01844,-1.52565
1988-09-01T00:00:00Z,0.0,42.0,-126.0,13.994963,-1.5323505
1988-09-01T00:00:00Z,0.0,42.0,-124.0,12.672174,-1.7598467
1988-09-01T00:00:00Z,0.0,44.0,-126.0,14.135184,-1.532712
1988-09-01T00:00:00Z,0.0,44.0,-124.0,13.090324,-1.73876
1988-09-01T00:00:00Z,0.0,46.0,-126.0,14.001774,-1.4989347
1988-09-01T00:00:00Z,0.0,46.0,-124.0,13.213383,-1.6511593
1988-09-01T00:00:00Z,0.0,48.0,-126.0,13.151524,-1.5097675
1988-09-01T00:00:00Z,0.0,48.0,-124.0,12.5276985,-1.6271553
1988-10-01T00:00:00Z,0.0,40.0,-126.0,14.466767,-0.38327408
1988-10-01T00:00:00Z,0.0,40.0,-124.0,13.238266,-0.48767853
1988-10-01T00:00:00Z,0.0,42.0,-126.0,13.911001,-0.4137478
1988-10-01T00:00:00Z,0.0,42.0,-124.0,12.716135,-0.5748024
1988-10-01T00:00:00Z,0.0,44.0,-126.0,13.82838,-0.3516407
1988-10-01T00:00:00Z,0.0,44.0,-124.0,12.840344,-0.5030937
1988-10-01T00:00:00Z,0.0,46.0,-126.0,13.506339,-0.32538986
1988-10-01T00:00:00Z,0.0,46.0,-124.0,12.67697,-0.4529686
1988-10-01T00:00:00Z,0.0,48.0,-126.0,12.489041,-0.3947096
1988-10-01T00:00:00Z,0.0,48.0,-124.0,11.743522,-0.5176039
1988-11-01T00:00:00Z,0.0,40.0,-126.0,13.316154,-0.3325138
1988-11-01T00:00:00Z,0.0,40.0,-124.0,12.30587,-0.5321102
1988-11-01T00:00:00Z,0.0,42.0,-126.0,12.562971,-0.34605026
1988-11-01T00:00:00Z,0.0,42.0,-124.0,11.676893,-0.51810646
1988-11-01T00:00:00Z,0.0,44.0,-126.0,12.182404,-0.27101326
1988-11-01T00:00:00Z,0.0,44.0,-124.0,11.482424,-0.3905964
1988-11-01T00:00:00Z,0.0,46.0,-126.0,11.695325,-0.21032047
1988-11-01T00:00:00Z,0.0,46.0,-124.0,11.091291,-0.28102112
1988-11-01T00:00:00Z,0.0,48.0,-126.0,10.78859,-0.18380547
